arrival_orders,box_numbers,horse_numbers,horse_names,horse_sexes,horse_ages,jockey_weights,jockey_names,goal_times,goal_margins,order_transitions,half_times,odds,popularities,horse_weights,horse_weight_diffs,trainer_names,horse_owners,earn_prizes,name,race_number,course_type,course_direction,course_length,weather,course_condition,race_start_time,held_date,held_place,held_number,held_date_number,explanation
1,6,7,メディアジャッカル,牝,3,54,保園翔也,1:33.1,,3-3-2-2,41.6,1.4,1,446,-1,[地]内野健二,長橋秀雄,130.0,3歳　選抜馬オ,1,ダ,左,1400,晴,良,10:20,2021年1月8日,浦和,10,3,
2,4,4,マキノファミリー,牝,3,54,高橋哲也,1:33.3,1,2-2-1-1,41.9,14.5,5,466,-3,[地]工藤伸輔,濱野牧男,45.5,3歳　選抜馬オ,1,ダ,左,1400,晴,良,10:20,2021年1月8日,浦和,10,3,
3,2,2,セイエイスコープ,牝,3,54,国分祐仁,1:34.3,5,6-7-7-5,41.2,40.1,8,452,-4,[地]箕輪武,星野英夫,26.0,3歳　選抜馬オ,1,ダ,左,1400,晴,良,10:20,2021年1月8日,浦和,10,3,
4,8,11,グレイスムーン,牝,3,54,橋本直哉,1:34.4,3/4,4-4-4-4,42.3,7.4,2,442,-6,[地]岡田一男,三田正眞,19.5,3歳　選抜馬オ,1,ダ,左,1400,晴,良,10:20,2021年1月8日,浦和,10,3,
5,3,3,エクセリア,牝,3,54,秋元耕成,1:35.3,4,1-1-3-3,43.8,17.0,6,429,-2,[地]水野貴史,稲垣隆治,13.0,3歳　選抜馬オ,1,ダ,左,1400,晴,良,10:20,2021年1月8日,浦和,10,3,
6,7,8,キュアップラパパ,牝,3,54,見越彬央,1:35.6,1.1/2,5-6-6-6,42.8,7.7,3,391,-8,[地]酒井一則,（同）ランニング・ク,,3歳　選抜馬オ,1,ダ,左,1400,晴,良,10:20,2021年1月8日,浦和,10,3,
7,5,5,マウコウカミ,牝,3,54,吉留孝司,1:35.7,1/2,11-10-10-10,41.6,12.2,4,449,-6,[地]藤原智行,新井悟,,3歳　選抜馬オ,1,ダ,左,1400,晴,良,10:20,2021年1月8日,浦和,10,3,
8,6,6,ホットミルク,牝,3,54,半澤慶実,1:35.8,クビ,7-5-5-7,43.2,74.5,9,384,-3,[地]工藤伸輔,グリーンウッド（株,,3歳　選抜馬オ,1,ダ,左,1400,晴,良,10:20,2021年1月8日,浦和,10,3,
9,1,1,グレースシラオキ,牝,3,50,中島良美,1:35.9,3/4,8-8-9-8,42.2,78.9,10,429,+2,[地]岡田一男,三田正眞,,3歳　選抜馬オ,1,ダ,左,1400,晴,良,10:20,2021年1月8日,浦和,10,3,
10,8,10,ナヴァーレ,牡,3,56,繁田健一,1:36.0,3/4,9-9-8-9,42.3,25.8,7,420,-12,[地]山越光,松谷翔太,,3歳　選抜馬オ,1,ダ,左,1400,晴,良,10:20,2021年1月8日,浦和,10,3,
11,7,9,クールヴァイヤン,セ,3,53,七夕裕次,1:36.5,2.1/2,10-11-11-11,41.2,118.6,11,415,-4,[地]箕輪武,野村祐,,3歳　選抜馬オ,1,ダ,左,1400,晴,良,10:20,2021年1月8日,浦和,10,3,
1,5,5,ノーブルゲート,牡,3,56,森泰斗,1:33.1,,1-1-1-1,40.4,1.8,1,496,+11,[地]水野貴史,吉木伸彦,130.0,3歳　選抜馬エ,2,ダ,左,1400,晴,良,10:50,2021年1月8日,浦和,10,3,
2,7,8,レコパントモチャン,牝,3,54,内田利雄,1:33.8,3,3-4-3-2,40.8,46.6,8,517,-5,[地]箕輪武,日下部敦,45.5,3歳　選抜馬エ,2,ダ,左,1400,晴,良,10:50,2021年1月8日,浦和,10,3,
3,6,6,ローズカルテット,牝,3,54,福原杏,1:34.1,1.1/2,8-8-7-6,40.2,12.9,5,441,-6,[地]平山真希,小林和幸,26.0,3歳　選抜馬エ,2,ダ,左,1400,晴,良,10:50,2021年1月8日,浦和,10,3,
4,8,11,ユウユウボヌール,牡,3,56,秋元耕成,1:34.1,ハナ,9-9-8-7,40.0,43.7,7,418,0,[地]横山保,北原大史,19.5,3歳　選抜馬エ,2,ダ,左,1400,晴,良,10:50,2021年1月8日,浦和,10,3,
5,7,9,ピノティートン,牡,3,56,町田直希,1:34.3,1,2-2-2-3,41.5,3.8,2,464,0,[地]野口孝,松井光夫,13.0,3歳　選抜馬エ,2,ダ,左,1400,晴,良,10:50,2021年1月8日,浦和,10,3,
6,4,4,サンパームデール,牝,3,54,川島正太,1:34.4,3/4,10-10-9-8,39.9,67.3,10,416,-2,[地]野口寛仁,（株）加藤ステーブ,,3歳　選抜馬エ,2,ダ,左,1400,晴,良,10:50,2021年1月8日,浦和,10,3,
7,6,7,アイワンダー,牡,3,56,吉留孝司,1:34.6,1,5-3-4-4,41.6,12.1,4,521,0,[地]岡田一男,ライフエンタープライ,,3歳　選抜馬エ,2,ダ,左,1400,晴,良,10:50,2021年1月8日,浦和,10,3,
8,2,2,マイスクワッド,牝,3,54,高橋哲也,1:35.2,3,7-6-6-5,41.8,15.6,6,373,-1,[地]横山保,北原大史,,3歳　選抜馬エ,2,ダ,左,1400,晴,良,10:50,2021年1月8日,浦和,10,3,
9,3,3,シェナザール,牝,3,54,見越彬央,1:35.7,2.1/2,11-11-10-10,41.1,52.0,9,471,+2,[地]吉田正美,冨田藤男,,3歳　選抜馬エ,2,ダ,左,1400,晴,良,10:50,2021年1月8日,浦和,10,3,
10,8,10,スカイフェニックス,牝,3,54,半澤慶実,1:37.7,10,6-5-5-9,44.3,247.7,11,452,+9,[地]藪口一麻,須貝廣次,,3歳　選抜馬エ,2,ダ,左,1400,晴,良,10:50,2021年1月8日,浦和,10,3,
11,1,1,ホールドオンミー,牝,3,54,張田昂,1:38.6,4,4-7-11-11,44.1,7.4,3,439,-11,[地]小澤宏次,堀口晴男,,3歳　選抜馬エ,2,ダ,左,1400,晴,良,10:50,2021年1月8日,浦和,10,3,
1,7,7,ロタツィオーネ,牡,4,56,吉留孝司,1:33.1,,4-4-2-2,39.8,4.4,4,470,-9,[地]野口孝,近藤秀典,80.0,C3　4歳カ,3,ダ,左,1400,晴,良,11:20,2021年1月8日,浦和,10,3,
2,4,4,エクセルスター,牡,4,56,秋元耕成,1:33.5,2,6-6-4-4,39.8,3.7,2,469,-7,[地]川村守男,谷川正純,28.0,C3　4歳カ,3,ダ,左,1400,晴,良,11:20,2021年1月8日,浦和,10,3,
3,3,3,シンライスマイル,牡,4,56,山林堂信,1:33.6,クビ,2-2-3-3,40.8,3.8,3,478,-6,[地]柘榴浩樹,（株）心頼ＬｏｏＰ,20.0,C3　4歳カ,3,ダ,左,1400,晴,良,11:20,2021年1月8日,浦和,10,3,
4,5,5,クリスタル,牝,4,54,福原杏,1:33.6,アタマ,1-1-1-1,41.8,2.4,1,462,0,[地]水野貴史,（株）パニオロ,14.0,C3　4歳カ,3,ダ,左,1400,晴,良,11:20,2021年1月8日,浦和,10,3,
5,2,2,ダンストンルー,牡,4,56,酒井忍,1:33.9,1.1/2,5-5-5-5,40.2,24.1,5,479,-6,[地]野口孝,伊藤治子,10.0,C3　4歳カ,3,ダ,左,1400,晴,良,11:20,2021年1月8日,浦和,10,3,
6,8,8,ニットウパキラ,牝,4,54,見越彬央,1:34.6,3,8-8-7-6,40.3,59.3,7,411,-11,[地]野口寛仁,（有）日東牧場,,C3　4歳カ,3,ダ,左,1400,晴,良,11:20,2021年1月8日,浦和,10,3,
7,6,6,シンライジジ,セ,4,56,澤田龍哉,1:35.1,2.1/2,3-3-6-7,41.4,59.0,6,528,-6,[地]川村守男,（株）心頼ＬｏｏＰ,,C3　4歳カ,3,ダ,左,1400,晴,良,11:20,2021年1月8日,浦和,10,3,
8,1,1,シュンビバーチェ,牝,4,54,橋本直哉,1:37.7,大,7-7-8-8,43.2,87.3,8,436,-4,[地]酒井一則,仲尾正人,,C3　4歳カ,3,ダ,左,1400,晴,良,11:20,2021年1月8日,浦和,10,3,
