arrival_orders,box_numbers,horse_numbers,horse_names,horse_ids,horse_sexes,horse_ages,jockey_weights,jockey_names,goal_times,goal_margins,order_transitions,half_times,odds,popularities,horse_weights,horse_weight_diffs,trainer_names,horse_owners,earn_prizes,name,race_number,course_type,course_direction,course_length,weather,course_condition,race_start_time,held_date,held_place,held_number,held_date_number,explanation
1,4,6,カンパリフレイバー,2018103025,牝,3,54,和田譲治,1:29.6,,1-1-1,39.2,3.1,1,480,+11,[地]月岡健二,尾田信夫,220.0,3歳　選抜牝馬,1,ダ,右,1400,曇,良,10:40,2021年1月18日,大井,16,1,68万円未満(別定)
2,3,4,コゼンツァ,2018104892,牝,3,54,御神本訓,1:30.8,6,5-4-3,40.0,3.7,3,392,-2,[地]森下淳平,（有）辻牧場,88.0,3歳　選抜牝馬,1,ダ,右,1400,曇,良,10:40,2021年1月18日,大井,16,1,68万円未満(別定)
3,7,11,シングンキャンディ,2018100358,牝,3,54,藤田凌,1:31.4,3,2-2-2,40.9,38.7,9,432,0,[地]三坂盛雄,伊坂重憲,55.0,3歳　選抜牝馬,1,ダ,右,1400,曇,良,10:40,2021年1月18日,大井,16,1,68万円未満(別定)
4,5,7,レッドアゲイン,2018102098,牝,3,54,服部茂史,1:31.5,1/2,6-8-8,39.9,37.1,8,428,-1,[地]三坂盛雄,田村彰夫,33.0,3歳　選抜牝馬,1,ダ,右,1400,曇,良,10:40,2021年1月18日,大井,16,1,68万円未満(別定)
5,6,9,ラストリスリン,2018103509,牝,3,54,千田洋,1:31.6,クビ,9-10-10,39.9,13.4,6,419,-6,[地]柏木一夫,榊原浩一,22.0,3歳　選抜牝馬,1,ダ,右,1400,曇,良,10:40,2021年1月18日,大井,16,1,68万円未満(別定)
6,5,8,ソウウンオーロラ,2018106863,牝,3,54,瀬川将輝,1:32.3,3.1/2,12-12-12,39.8,164.0,12,436,-7,[地]宮浦正行,服部新平,,3歳　選抜牝馬,1,ダ,右,1400,曇,良,10:40,2021年1月18日,大井,16,1,68万円未満(別定)
7,4,5,リファーブル,2018100800,牝,3,54,小林拓未,1:32.4,クビ,11-7-7,41.0,12.0,5,412,+1,[地]柏木一夫,鈴木昭,,3歳　選抜牝馬,1,ダ,右,1400,曇,良,10:40,2021年1月18日,大井,16,1,68万円未満(別定)
8,8,14,メリーミー,2018101159,牝,3,54,中村尚平,1:32.7,1.3/4,7-6-5,41.5,28.6,7,455,+1,[地]寺田新太,長橋賢吾,,3歳　選抜牝馬,1,ダ,右,1400,曇,良,10:40,2021年1月18日,大井,16,1,68万円未満(別定)
9,6,10,ブリランテイモン,2018102828,牝,3,54,吉原寛人,1:32.7,アタマ,8-9-9,41.0,3.5,2,460,+13,[地]佐宗応和,井門敏雄,,3歳　選抜牝馬,1,ダ,右,1400,曇,良,10:40,2021年1月18日,大井,16,1,68万円未満(別定)
10,8,13,キンカイユキ,2018104490,牝,3,54,達城龍次,1:32.8,クビ,4-5-6,41.9,10.3,4,458,0,[地]佐野謙二,竹原孝昭,,3歳　選抜牝馬,1,ダ,右,1400,曇,良,10:40,2021年1月18日,大井,16,1,68万円未満(別定)
